YEAR,DATE,CAT,RACE,WINNER,RACE_URL
2019,08.10,1.HC,Tre Valli Varesine,P. Roglic,https://firstcycling.com/race.php?r=190&y=2019
2019,09.10,1.HC,Milano - Torino,M. Woods,https://firstcycling.com/race.php?r=89&y=2019
2019,10.10,1.HC,Gran Piemonte,E. Bernal,https://firstcycling.com/race.php?r=61&y=2019
2019,13.10,1.HC,Paris - Tours,J. Wallays,https://firstcycling.com/race.php?r=28&y=2019
2019,20.10,1.HC,Japan Cup,B. Mollema,https://firstcycling.com/race.php?r=95&y=2019
2020,26.01-02.02,2.Pro,Vuelta a San Juan,R. Evenepoel,https://firstcycling.com/race.php?r=5247&y=2020
2020,05.02-09.02,2.Pro,Volta Comunitat Valenciana,T. Pogacar,https://firstcycling.com/race.php?r=319&y=2020
2020,07.02-14.02,2.Pro,Tour de Langkawi,D. Celano,https://firstcycling.com/race.php?r=128&y=2020
2020,13.02-16.02,2.Pro,Tour de La Provence,N. Quintana,https://firstcycling.com/race.php?r=4396&y=2020
2020,16.02,1.Pro,Trofeo Laigueglia,G. Ciccone,https://firstcycling.com/race.php?r=112&y=2020
2020,16.02,1.Pro,Clasica de Almeria,P. Ackermann,https://firstcycling.com/race.php?r=129&y=2020
2020,19.02-23.02,2.Pro,Vuelta a Andalucía,J. Fuglsang,https://firstcycling.com/race.php?r=110&y=2020
2020,19.02-23.02,2.Pro,Volta ao Algarve,R. Evenepoel,https://firstcycling.com/race.php?r=107&y=2020
2020,29.02,1.Pro,Faun-Ardèche Classic,R. Cavagna,https://firstcycling.com/race.php?r=121&y=2020
2020,01.03,1.Pro,Faun Drome Classic,S. Clarke,https://firstcycling.com/race.php?r=432&y=2020
2020,01.03,1.Pro,Kuurne-Brussel-Kuurne,K. Asgreen,https://firstcycling.com/race.php?r=84&y=2020
2020,28.07-01.08,2.Pro,Vuelta a Burgos,R. Evenepoel,https://firstcycling.com/race.php?r=192&y=2020
2020,03.08,1.Pro,Gran Trittico Lombardo,G. Izagirre,https://firstcycling.com/race.php?r=13875&y=2020
2020,05.08,1.Pro,Milano - Torino,A. Démare,https://firstcycling.com/race.php?r=89&y=2020
2020,12.08,1.Pro,Gran Piemonte,G. Bennett,https://firstcycling.com/race.php?r=61&y=2020
2020,15.08,1.Pro,Dwars door het Hageland,J. Rickaert,https://firstcycling.com/race.php?r=425&y=2020
2020,16.08-19.08,2.Pro,Tour de Wallonie,A. Démare,https://firstcycling.com/race.php?r=193&y=2020
2020,18.08,1.Pro,Giro dell'Emilia,A. Vlasov,https://firstcycling.com/race.php?r=29&y=2020
2020,30.08,1.Pro,Brussels Classic,T. Merlier,https://firstcycling.com/race.php?r=64&y=2020
2020,15.09-19.09,2.Pro,Tour de Luxembourg,D. Ulissi,https://firstcycling.com/race.php?r=37&y=2020
2020,17.09,1.Pro,Coppa Sabatini,D. Smith,https://firstcycling.com/race.php?r=160&y=2020
2020,07.10,1.Pro,Brabantse Pijl,J. Alaphilippe,https://firstcycling.com/race.php?r=77&y=2020
2020,11.10,1.Pro,Paris - Tours,C. Pedersen,https://firstcycling.com/race.php?r=28&y=2020
2020,14.10,1.Pro,Scheldeprijs,C. Ewan,https://firstcycling.com/race.php?r=56&y=2020
2021,11.02-14.02,2.Pro,Tour de La Provence,I. Sosa,https://firstcycling.com/race.php?r=4396&y=2021
2021,14.02,1.Pro,Clasica de Almeria,G. Nizzolo,https://firstcycling.com/race.php?r=129&y=2021
2021,27.02,1.Pro,Faun-Ardèche Classic,D. Gaudu,https://firstcycling.com/race.php?r=121&y=2021
2021,28.02,1.Pro,Faun Drome Classic,A. Bagioli,https://firstcycling.com/race.php?r=432&y=2021
2021,28.02,1.Pro,Kuurne-Brussel-Kuurne,M. Pedersen,https://firstcycling.com/race.php?r=84&y=2021
2021,03.03,1.Pro,Trofeo Laigueglia,B. Mollema,https://firstcycling.com/race.php?r=112&y=2021
