index,Pos,Rider,Born,Nation,Team,Points,rider_id,Year
15225,301,Rojas  José Joaquin,1985,Spain,Astana - Würth Team,308,116,2006
15231,307,Pate  Danny,1979,USA,Team TIAA - CREF,302,50,2006
15243,319,Tiralongo  Paolo,1977,Italy,Lampre-Fondital,296,359,2006
15244,319,Serpa  José,1979,Colombia,Selle Italia - Serramenti,296,463,2006
15250,326,Coyot  Arnaud,1980,France,Cofidis,292,115,2006
15267,343,Ignatiev  Mikhail,1985,Russia,Tinkoff Restaurants,278,71,2006
15268,344,Sørensen  Nicki,1975,Denmark,Team CSC,277,16,2006
15296,372,Bozic  Borut,1980,Slovenia,Perutnina Ptuj,262,387,2006
15312,388,Paulinho  Sergio,1980,Portugal,Astana - Würth Team,251,88,2006
15323,399,Kiryienka  Vasil,1981,Belarus,Rietumu Bank - Riga,244,402,2006
15335,411,Langeveld  Sebastian,1985,Netherlands,Skil - Shimano,238,312,2006
15346,420,Keisse  Iljo,1982,Belgium,Chocolade Jacques - Topsport Vlaand,233,1298,2006
15350,426,Cavendish  Mark,1985,Great Britain,Team Sparkasse,230,14,2006
15356,431,Charteau  Anthony,1979,France,Crédit Agricole,226,677,2006
15366,441,Urtasun  Pablo,1980,Spain,Kaiku,221,869,2006
15374,448,Goss  Matthew,1986,Australia,SouthAustralia.com-AIS,216,512,2006
15375,451,Clement  Stef,1982,Netherlands,Bouygues Telecom,215,81,2006
15381,457,Wynants  Maarten,1982,Belgium,Chocolade Jacques - Topsport Vlaand,213,367,2006
15390,466,Millar  David,1977,Great Britain,Saunier Duval - Prodir,209,43,2006
15434,509,Arashiro  Yukiya,1984,Japan,Cycle Racing Team Vang,194,163,2006
15441,517,Roy  Jérémy,1983,France,Française des Jeux,191,106,2006
15443,517,López  David,1981,Spain,Euskaltel-Euskadi,191,336,2006
15452,528,Losada  Alberto,1982,Spain,Kaiku,188,749,2006
15456,532,Cobo  Juan José,1981,Spain,Saunier Duval - Prodir,187,288,2006
15476,552,Weening  Pieter,1981,Netherlands,Rabobank,179,300,2006
15515,589,Machado  Tiago,1985,Portugal,Carvalhelhos - Boavista,168,708,2006
15517,593,Pérez Moreno  Rubén,1981,Spain,Euskaltel-Euskadi,167,59,2006
15518,593,Burghardt  Marcus,1983,Germany,T-Mobile Team,167,92,2006
15550,625,Leezer  Tom,1985,Netherlands,Rabobank CT,158,368,2006
15555,631,Longo Borghini  Paolo,1980,Italy,Ceramica Flaminia,157,566,2006
15572,647,Cummings  Steve,1981,Great Britain,Landbouwkrediet - Colnago,151,271,2006
15584,659,Fischer  Murilo,1979,Brazil,Naturino - Sapore di Mare,145,130,2006
15618,694,Scarponi  Michele,1979,Italy,Astana - Würth Team,136,27,2006
15623,698,Di Gregorio  Rémy,1985,France,Française des Jeux,135,105,2006
15625,698,Di Gregorio  Rémy,1985,France,Française des Jeux,135,105,2006
15627,703,Schär  Michael,1986,Switzerland,Phonak Hearing Systems,134,327,2006
15639,715,Zandio  Xabier,1977,Spain,Caisse d'Epargne - Illes Balears,131,113,2006
15666,742,Kreuziger  Roman,1986,Czech Republic,Liquigas,126,36,2006
15700,774,Horrach  Joan,1974,Spain,Caisse d'Epargne - Illes Balears,120,74,2006
