YEAR,DATE,CAT,RACE,WINNER,RACE_URL
2019,11.05-02.06,2.UWT,Giro d'Italia,R. Carapaz,https://firstcycling.com/race.php?r=13&y=2019
2019,12.05-18.05,2.UWT,Tour of California,T. Pogacar,https://firstcycling.com/race.php?r=30&y=2019
2019,09.06-16.06,2.UWT,Critérium du Dauphiné,J. Fuglsang,https://firstcycling.com/race.php?r=15&y=2019
2019,15.06-23.06,2.UWT,Tour de Suisse,E. Bernal,https://firstcycling.com/race.php?r=16&y=2019
2019,06.07-28.07,2.UWT,Tour de France,E. Bernal,https://firstcycling.com/race.php?r=17&y=2019
2019,03.08,1.UWT,San Sebastian Klasikoa,R. Evenepoel,https://firstcycling.com/race.php?r=18&y=2019
2019,03.08-09.08,2.UWT,Tour de Pologne,P. Sivakov,https://firstcycling.com/race.php?r=19&y=2019
2019,04.08,1.UWT,Ride London Classic,E. Viviani,https://firstcycling.com/race.php?r=261&y=2019
2019,12.08-18.08,2.UWT,Renewi Tour,L. De Plus,https://firstcycling.com/race.php?r=21&y=2019
2019,24.08-15.09,2.UWT,Vuelta a España,P. Roglic,https://firstcycling.com/race.php?r=23&y=2019
2019,25.08,1.UWT,BEMER Cyclassics,E. Viviani,https://firstcycling.com/race.php?r=20&y=2019
2019,01.09,1.UWT,Bretagne Classic,S. Vanmarcke,https://firstcycling.com/race.php?r=22&y=2019
2019,13.09,1.UWT,GP Québec,M. Matthews,https://firstcycling.com/race.php?r=59&y=2019
2019,15.09,1.UWT,GP Montreal,G. Van Avermaet,https://firstcycling.com/race.php?r=58&y=2019
2019,12.10,1.UWT,Il Lombardia,B. Mollema,https://firstcycling.com/race.php?r=24&y=2019
2019,17.10-22.10,2.UWT,Gree - Tour of Guangxi,E. Mas,https://firstcycling.com/race.php?r=7591&y=2019
2020,21.01-26.01,2.UWT,Tour Down Under,R. Porte,https://firstcycling.com/race.php?r=1&y=2020
2020,02.02,1.UWT,Cadel Evans Road Race,D. Devenyns,https://firstcycling.com/race.php?r=1172&y=2020
2020,23.02-29.02,2.UWT,UAE Tour,A. Yates,https://firstcycling.com/race.php?r=9800&y=2020
2020,29.02,1.UWT,Omloop Het Nieuwsblad,J. Stuyven,https://firstcycling.com/race.php?r=53&y=2020
2020,08.03-15.03,2.UWT,Paris-Nice,M. Schachmann,https://firstcycling.com/race.php?r=2&y=2020
2020,01.08,1.UWT,Strade Bianche,W. van Aert,https://firstcycling.com/race.php?r=54&y=2020
2020,05.08-09.08,2.UWT,Tour de Pologne,R. Evenepoel,https://firstcycling.com/race.php?r=19&y=2020
2020,08.08,1.UWT,Milano-Sanremo,W. van Aert,https://firstcycling.com/race.php?r=4&y=2020
2020,12.08-16.08,2.UWT,Critérium du Dauphiné,D. Martinez,https://firstcycling.com/race.php?r=15&y=2020
2020,15.08,1.UWT,Il Lombardia,J. Fuglsang,https://firstcycling.com/race.php?r=24&y=2020
2020,25.08,1.UWT,Bretagne Classic,M. Matthews,https://firstcycling.com/race.php?r=22&y=2020
2020,29.08-20.09,2.UWT,Tour de France,T. Pogacar,https://firstcycling.com/race.php?r=17&y=2020
2020,07.09-14.09,2.UWT,Tirreno-Adriatico,S. Yates,https://firstcycling.com/race.php?r=3&y=2020
2020,29.09-03.10,2.UWT,Renewi Tour,M. van der Poel,https://firstcycling.com/race.php?r=21&y=2020
2020,30.09,1.UWT,La Flèche Wallonne,M. Hirschi,https://firstcycling.com/race.php?r=10&y=2020
2020,03.10-25.10,2.UWT,Giro d'Italia,T. Geoghegan Hart,https://firstcycling.com/race.php?r=13&y=2020
2020,04.10,1.UWT,Liège-Bastogne-Liège,P. Roglic,https://firstcycling.com/race.php?r=11&y=2020
2020,11.10,1.UWT,Gent - Wevelgem,M. Pedersen,https://firstcycling.com/race.php?r=7&y=2020
2020,18.10,1.UWT,Ronde van Vlaanderen,M. van der Poel,https://firstcycling.com/race.php?r=5&y=2020
2020,20.10-08.11,2.UWT,Vuelta a España,P. Roglic,https://firstcycling.com/race.php?r=23&y=2020
2020,21.10,1.UWT,Classic Brugge-De Panne,Y. Lampaert,https://firstcycling.com/race.php?r=40&y=2020
2021,21.02-27.02,2.UWT,UAE Tour,T. Pogacar,https://firstcycling.com/race.php?r=9800&y=2021
2021,27.02,1.UWT,Omloop Het Nieuwsblad,D. Ballerini,https://firstcycling.com/race.php?r=53&y=2021
2021,06.03,1.UWT,Strade Bianche,M. van der Poel,https://firstcycling.com/race.php?r=54&y=2021
2021,07.03-14.03,2.UWT,Paris-Nice,M. Schachmann,https://firstcycling.com/race.php?r=2&y=2021
2021,10.03-16.03,2.UWT,Tirreno-Adriatico,T. Pogacar,https://firstcycling.com/race.php?r=3&y=2021
2021,20.03,1.UWT,Milano-Sanremo,J. Stuyven,https://firstcycling.com/race.php?r=4&y=2021
